Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
BANK,JH291,BMO GLOBAL BANKS HEDGED TO CAD INDEX ETF,535700,20.81849,0.3602,0,1.30355,0.35,100000,0.15

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
YAMADA DENKI CO LTD,9831 JP,221,6.53,2100,6985026
WHITBREAD,WTB LN,58,67.72,548,B1KJJ40
SERVICEMASTER GLOBAL HOLDINGS INC,SERV US,43,78.21,404,BNG8BF0
ELIOR GROUP,ELIOR FP,32,21.19,308,BN40H61
CARNIVAL PLC,CCL LN,54,73.87,516,3121522
CARMAX INC,KMX US,54,98.03,516,2983563
LEGGETT & PLATT INC,LEG US,41,58.24,386,2510682
MAKITA CORP,6586 JP,79,59.06,750,6555805
TECHTRONIC INDUSTRIES CO LTD,669 HK,393,7.41,3733,B0190C7
LINAMAR CORP,LNR,14,55.33,135,2516022
SHIMANO INC,7309 JP,21,192.72,200,6804820
TARGET CORP,TGT US,164,104.27,1561,2259101
PADDY POWER BETFAIR,PPB ID,26,142.66,248,BWT6H89
HANESBRANDS INC,HBI US,112,28.38,1069,B1BJSL9
BRIGHT HORIZONS FAM SOLUTIONS INC,BFAM US,18,143.98,168,B7MJWP2
ASOS PLC,ASC LN,16,107.22,156,3092725
TOLL BROTHERS INC,TOL US,44,45.59,420,2896092
B&M EUROPEAN VALUE RETAIL SA,BME LN,263,7.34,2503,BMTRW10
GEDI GRUPPO EDITORIALE SPA,GEDI IM,11,0.51,105,5836200
DIXONS CARPHONE PLC,DC/ LN,309,3.06,2933,B4Y7R14
NEWS CORP,NWS US,38,20.07,360,BBGVT51
NITORI HOLDINGS CO LTD,9843 JT,21,200.04,200,6644800
WHIRLPOOL CORP,WHR US,21,161.91,201,2960384
ITV PLC,ITV LN,1171,2.97,11125,3398649
THE STARS GROUP INC,TSGI,40,49.07,384,BDG1MJ0
SIRIUS XM HOLDINGS INC,SIRI US,403,9.31,3834,BGLDK10
SAMSONITE INTERNATIONAL SA,1910 HK,404,5.10,3842,B4Q1532
LIONS GATE ENTERTAINMENT CORP,LGF/B US,32,29.92,303,BD8NB53
PVH CORP,PVH US,23,204.64,223,B3V9F12
MOHAWK INDUSTRIES INC,MHK US,19,283.35,181,2598699
OMNICOM GROUP INC,OMC US,69,88.38,655,2279303
O'REILLY AUTOMOTIVE INC,ORLY US,25,387.42,234,B65LWX6
THE SWATCH GROUP AG,UHR VX,9,615.16,86,7184725
BRIDGESTONE CORP,5108 JP,184,49.56,1750,6132101
LENNAR CORP,LEN US,87,66.94,823,2511920
DENTSU INC,4324 JP,63,55.13,600,6416281
DUFRY AG,DUFN SW,10,169.50,94,B0R80X9
WENDYS CO,WEN US,59,21.81,560,B3NXMJ9
LIBERTY SIRIUS XM,LSXMK US,52,62.26,494,BD8QGH9
KOITO MANUFACTURING CO LTD,7276 JP,32,87.08,300,6496324
PORSCHE AUTOMOBIL HOLDING SE,PAH3 GR,47,85.57,446,7101069
DAILY MAIL AND GENERAL TRUST P L C,DMGT LN,82,12.76,782,0945736
ORIENTAL LAND CO LTD,4661 JT,53,134.84,500,6648891
LENNAR CORP,LEN/B US,5,55.48,47,2578293
MELCO INTERNATIONAL DEVELOPMENT LTD,200 HK,247,4.01,2343,B092QP3
WPP PLC,WPP LN,376,20.32,3569,B8KF9B4
NEWS CORP,NWSA US,120,19.77,1138,BBGVT40
VIVENDI SA,VIV FP,294,31.49,2792,4834777
VALEO SA,FR FP,73,72.76,693,BDC5ST8
FUJIFILM HOLDINGS CORP,4901 JP,116,54.41,1100,6356525
RINNAI,5947 JP,11,111.55,100,6740582
BELLWAY PLC,BWY LN,39,50.25,368,0090498
ROYAL CARIBBEAN CRUISES LTD,RCL US,52,144.39,491,2754907
MICHAELS COMPANIES INC,MIK US,34,26.64,325,BNG83R6
TRIPADVISOR INC,TRIP US,33,79.29,309,B6ZC3N6
AISIN SEIKI CO LTD,7259 JP,53,59.07,500,6010702
FORMULA ONE GROUP,FWONK US,62,46.07,588,BD8QGD5
AXEL SPRINGER SE,SPR GY,14,97.50,131,4647317
NOKIAN TYRES PLC,NRE1V FH,42,54.87,401,B07G378
COMPAGNIE FINANCIERE RICHEMONT SA,CFR VX,156,113.94,1484,BCRWZ18
DOLLAR GENERAL CORP,DG US,82,128.73,782,B5B1S13
INDUSTRIA DE DISENO TEXTIL SA,ITX SQ,322,43.60,3059,BP9DL90
DOLLAR TREE INC,DLTR US,72,116.54,682,2272476
SEB SA,SK FP,9,246.89,81,4792132
DISCOVERY INC,DISCK US,108,31.36,1029,B3D7KG4
DOLLARAMA INC,DOL,100,47.98,946,B4TP9G2
TRACTOR SUPPLY CO,TSCO US,37,101.89,355,2900335
RTL GROUP,RRTL GY,12,94.91,113,B1BK209
RYOHIN KEIKAKU CO LTD,7453 JP,11,412.37,100,6758455
DAIWA HOUSE INDUSTRY CO LTD,1925 JP,195,47.13,1850,6251363
JCDECAUX SA,DEC FP,22,43.73,213,7136663
CABLE ONE INC,CABO US,1,929.33,12,BZ07DS4
GILDAN ACTIVEWEAR INC,GIL,68,34.19,644,2254645
EBAY INC,EBAY US,286,44.18,2721,2293819
TAPESTRY INC,TPR US,88,62.64,838,BF09HX3
2U INC,TWOU US,17,112.09,161,BKWBZZ0
SKY PLC,SKY LN,317,25.94,3009,0141192
COMCAST CORP,CMCSA US,1399,43.56,13297,2044545
FOOT LOCKER INC,FL US,37,64.15,354,2980906
FERRARI NV,RACE IM,38,171.46,365,BD6G507
USS CO LTD,4732 JP,63,24.34,600,6171494
NIKON CORP,731 JT,105,22.25,1000,6642321
COMPASS GROUP,CPG LN,485,28.35,4607,BD6K457
RELX NV,REN NA,267,29.04,2540,4148810
WABCO HOLDINGS INC,WBC US,17,155.77,159,B23CNQ3
MILLENNIUM&COPTHNE,MLC LN,37,8.89,355,0562254
QURATE RETAIL INC,QRTEA US,133,27.91,1264,BZ19HB0
URBAN OUTFITTERS INC,URBN US,23,59.75,215,2933438
AUTOZONE INC,AZO US,8,919.94,78,2065955
TELEPERFORMANCE SE,TEP FP,17,244.51,166,5999330
BRP INC,DOO,11,60.79,107,B9B3FG1
MERLIN ENTERTAINMENTS PLC,MERL LN,217,6.84,2065,BDZT6P9
DON QUIJOTE HOLDINGS,7532 JP,32,61.04,300,6269861
AMC NETWORKS INC,AMCX US,14,78.08,129,B4MG4Z6
ALTICE EUROPE NV,ATC NA,192,4.37,1827,BYT3416
GENTEX CORP,GNTX US,86,28.98,819,2366799
CRYSTAL INTERNATIONAL GROUP LTD,2232 HK,130,0.88,1233,BF09MJ4
COLUMBIA SPORTSWEAR CO,COLM US,10,121.15,91,2229126
LIVE NATION ENTERTAINMENT INC,LYV US,43,68.32,411,B0T7YX2
PANASONIC CORP,6752 JP,652,16.61,6200,6572707
LEAR CORP,LEA US,20,236.78,192,B570P91
HOME DEPOT INC,HD US,353,262.01,3355,2434209
UNDER ARMOUR INC,UA US,60,25.73,566,BDF9YM2
ELECTROLUX AB,ELUXB SS,75,30.04,714,B1KKBX6
SINGAPORE PRESS HOLDINGS LTD,SPH SP,495,2.77,4700,B012899
TAYLOR WIMPEY PLC,TW/ LN,1022,3.03,9711,0878230
WYNN RESORTS LTD,WYNN US,31,216.13,299,2963811
MARKS AND SPENCER GROUP PLC,MKS LN,511,5.30,4853,3127489
PUMA SE,PUM GR,3,726.42,25,5064722
SUMITOMO ELECTRIC INDUSTRIES LTD,5802 JP,232,19.96,2200,6858708
PANDORA A/S,PNDORA DC,33,95.87,313,B44XTX8
HUGO BOSS AG,BOSS GY,20,122.18,192,B88MHC4
DUNELM GROUP PLC,DNLM LN,31,8.84,292,B1CKQ73
ISUZU MOTORS LTD,7202 JP,163,17.56,1550,6467104
HOWDEN JOINERY GROUP PLC,GFRM LN,185,8.86,1756,0557681
SANDS CHINA LTD,1928 HK,735,6.98,6984,B5B23W2
NVR INC,NVR US,1,3637.48,9,2637785
ARISTOCRAT LEISURE LTD,ALL AU,196,31.44,1859,6253983
TESLA INC,TSLA US,41,402.46,394,B616C79
LOWE'S COMPANIES INC,LOW US,253,129.08,2404,2536763
GRAND CANYON EDUCATION INC,LOPE US,15,155.59,141,B3F1XM1
HYATT HOTELS CORP,H US,14,104.79,134,B5B82X4
WILLIAM HILL PLC,WMH LN,265,5.07,2517,3169889
IWG PLC,IWG LN,214,5.17,2033,BYVQYS0
INTERPUBLIC GROUP OF COMPANIES INC,IPG US,120,29.20,1137,2466321
L'OREAL SA,OR FP,74,318.38,701,4057808
PUBLICIS GROUPE SA,PUB FP,63,80.51,599,4380429
COSTCO WHOLESALE CORP,COST US,134,287.69,1272,2701271
TIFFANY & CO,TIF US,38,181.85,360,2892090
MINTH GROUP LTD,425 HK,218,5.07,2068,B0RJCG9
NEWELL BRANDS INC,NWL US,138,33.75,1311,2635701
WH SMITH PLC,SMWH LN,33,32.74,313,B2PDGW1
QUEBECOR INC,QBR/B,38,27.57,364,2715777
TAKASHIMAYA CO LTD,8233 JP,105,10.62,1000,6870401
TOYOTA INDUSTRIES CORP,6201 JP,53,72.01,500,6900546
MATTEL INC,MAT US,108,21.23,1026,2572303
TABCORP HOLDINGS LTD,TAH AU,592,4.52,5629,6873262
DISCOVERY INC,DISCA US,48,33.72,458,B3D7K31
KAR AUCTION SERVICES INC,KAR US,42,76.56,401,B4Y1MH7
CHIPOTLE MEXICAN GRILL INC,CMG US,7,588.72,71,B0X7DZ3
J.FRONT RETAILING CO LTD,3086 JP,74,19.20,700,B23TC12
KERING,KER FP,23,771.19,216,5505072
FIAT CHRYSLER AUTOMOBILES NV,FCA IM,337,21.45,3207,BRJFWP3
MAGNA INTERNATIONAL INC,MG,103,76.52,982,2554475
YUM BRANDS INC,YUM US,99,102.55,941,2098876
NORWEGIAN CRUISE LINE HOLDINGS LTD,NCLH US,64,65.39,611,B9CGTC3
MGM RESORTS INTERNATIONAL,MGM US,159,41.09,1510,2547419
TOHO CO LTD,9602 JP,32,37.22,300,6895200
HENKEL AG & CO KGAA,HEN GY,31,139.74,295,5002465
VIACOM INC,VIA US,3,43.02,25,B0SRLD2
THE STAR ENTERTAINMENT GROUP LTD,SGR AU,256,4.77,2431,BD5ZR98
CROWN RESORTS LTD,CWN AU,110,13.13,1045,B29LCJ0
HUDSONS BAY CO,HBC,31,11.40,299,B8436W4
MONCLER SPA,MONC IM,50,60.73,473,BGLP232
MCDONALD'S CORP,MCD US,241,207.12,2288,2550707
DENSO CORP,6902 JP,142,65.53,1350,6640381
BURBERRY GROUP PLC,BRBY LN,127,37.15,1208,3174300
HUSQVARNA AB,HUSQB SS,127,10.16,1211,B12PJ24
SEKISUI CHEMICAL CO LTD,4204 JP,105,23.12,1000,6793821
SKECHERS USA INC,SKX US,42,36.03,396,2428042
DOMINOS PIZZA INC,DPZ US,13,341.79,122,B01SD70
AUTOLIV INC,ALV US,27,135.49,254,2064253
WAYFAIR INC,W US,18,164.21,167,BQXZP64
PRADA SPA,1913 HK,159,5.90,1507,B4PFFW4
NEXT PLC,NXT LN,42,102.76,403,3208986
YUE YUEN INDUSTRIAL (HOLDINGS) LTD,551 HK,222,3.99,2113,6586537
ISETAN MITSUKOSHI HOLDINGS LTD,3099 JP,105,15.62,1000,B2Q4CL4
MCDONALD'S HOLDINGS COMPANY JAPAN LTD,2702 JP,21,59.84,200,6371863
CINEMARK HOLDINGS INC,CNK US,34,45.19,320,B1W7RQ0
ZALANDO SE,ZAL GR,43,74.98,405,BQV0SV7
SUBARU CORP,7270 JT,189,37.80,1800,6356406
COTY INC,COTY US,146,17.57,1388,BBBSMJ2
NIELSEN HLDGS PLC,NLSN US,109,38.55,1036,BWFY550
WALMART INC,WMT US,437,114.58,4152,2936921
VAIL RESORTS INC,MTN US,13,371.47,119,2954194
WYNN MACAU LTD,1128 HK,458,4.11,4349,B4JSTL6
CASIO COMPUTER CO LTD,6952 JP,63,21.69,600,6178967
AUTONATION INC,AN US,18,60.33,170,2732635
LIBERTY SIRIUS XM,LSXMA US,27,62.31,261,BD8QGF7
VF CORP,VFC US,99,120.45,941,2928683
MARRIOTT INTERNATIONAL INC,MAR US,90,171.42,852,2210614
FLOOR & DECOR HOLDINGS INC,FND US,12,64.36,114,BYQHP96
VEONEER INC,VNE-W US,27,61.83,254,BZ19F50
WILLIAMS SONOMA INC,WSM US,26,78.49,246,2967589
KINDRED GROUP PLC,KINDSDB SS,67,16.94,640,BYSY2K5
KOSE,4922 JP,11,254.76,100,6194468
PEUGEOT SA,UG FP,167,36.70,1583,7103526
INTERNATIONAL GAME TECHNOLOGY PLC,IGT US,33,32.59,317,BVG7F06
D.R. HORTON INC,DHI US,105,51.54,1002,2250687
CITY DEVELOPMENTS LTD,CIT SP,142,9.68,1350,6197928
INFORMA PLC,INF LN,382,14.08,3626,BMJ6DW5
ARAMARK,ARMK US,77,53.00,728,BH3XG17
DUNKIN' BRANDS GROUP INC,DNKN US,26,92.42,247,B3LHT03
DAIMLER AG,DAI GY,264,89.49,2505,5529027
LUXOTTICA GROUP SPA,LUX IM,49,86.72,464,4800659
RALPH LAUREN CORP,RL US,17,178.81,164,B4V9661
MAZDA MOTOR CORP,7261 JP,174,16.05,1650,6900308
WYNDHAM HOTELS RESORTS INC,WH US,31,74.85,291,BF108P4
SHISEIDO CO LTD,4911 JP,121,98.82,1150,6805265
CANADIAN TIRE CORPORATION LTD,CTC/A,19,176.37,185,2172286
GALAXY ENTERTAINMENT GROUP LTD,27 HK,654,10.88,6214,6465874
ADIDAS AG,ADS FR,61,288.70,583,4031976

Open Currency Forwards Position,Quantity,Hedged Currency (%),FX Forward Rate,Value Date
AUD,-271400,-1.1742964230696193745215436831,0.97186,20180208
CAD,21983195.94,97.87122357093450891327094982,1.00000,20180208
CHF,-185000,-1.083568768767106761162038473,1.31559,20180208
DKK,-152000,-0.1389369874544720876375683218,0.20531,20180208
EUR,-1814900,-12.360779702521055542117601698,1.52978,20180208
GBP,-613200,-4.6965680623787756350570395677,1.72034,20180208
HKD,-1255500,-0.9286006195623393912220125525,0.16613,20180208
JPY,-233279600,-12.203342925856828027683053619,0.01175,20180208
SEK,-679000,-0.4502110506430162257861350571,0.14893,20180208
SGD,-53000,-0.2264210073771451002246351484,0.95957,20180208
USD,-10914100,-63.334424444466344980402546919,1.30343,20180208

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
INSR,JH290,BMO GLOBAL INSURANCE HEDGED TO CAD INDEX ETF,498900,21.79739,0.34737,0,1.30355,0.35,100000,0.15

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
INTACT FINANCIAL CORP,IFC,124,95.67,618,B04YJV1
OLD MUTUAL LTD,OMU LN,4294,2.81,21421,BDVPYQ8
EVEREST RE GROUP LTD,RE US,36,291.50,179,2556868
SWISS LIFE HOLDING AG,SLHN VX,31,459.22,153,7437805
PRINCIPAL FINANCIAL GROUP INC,PFG US,255,71.72,1270,2803014
ADMIRAL GROUP PLC,ADM LN,181,32.74,903,B02J639
MS&AD INSURANCE GROUP HOLDINGS INC,8725 JP,450,40.29,2247,B2Q4CS1
SAGA PLC,SAGA LN,989,2.10,4932,BLT1Y08
MERCURY GENERAL CORP,MCY US,24,57.38,121,2578464
POWER CORPORATION OF CANADA,POW,343,29.77,1712,2697701
TRISURA GROUP LTD,TSU,7,26.94,34,BFNJQX3
SONY FINANCIAL HOLDINGS INC,8729 JP,152,25.60,760,B249SN5
AEGON NV,AGN NA,1559,8.35,7779,5927375
ASPEN INSURANCE HOLDINGS LTD,AHL US,53,52.14,262,2172372
MAPFRE SA,MAP SM,879,4.03,4387,B1G40S0
METLIFE INC,MET US,778,58.29,3881,2573209
T&D HOLDINGS INC,8795 JP,508,19.84,2535,6744294
GREAT EASTERN HOLDINGS LTD,GE SP,122,26.68,607,6235000
GENWORTH MI CANADA INC,MIC,34,46.25,170,B3NWJQ2
MEDIBANK PRIVATE LIMITED,MPL AU,2453,3.01,12236,BRTNNQ5
RSA INSURANCE GROUP PLC,RSA LN,912,10.79,4549,BKKMKR2
GALLAGHER ARTHUR J & CO,AJG US,160,92.76,799,2359506
TORCHMARK CORP,TMK US,94,109.33,467,2896713
CNP ASSURANCES SA,CNP FP,141,29.85,705,5543986
AVIVA PLC,AV/ LN,3616,8.45,18040,0216238
ERIE INDTY CO,ERIE US,22,156.70,109,2311711
FIRST AMERICAN FINANCIAL CORP,FAF US,96,70.99,481,B4NFPK4
TOKIO MARINE HOLDINGS INC,8766 JP,609,62.01,3039,6513126
DIRECT LINE INSURANCE GROUP PLC,DLG LN,1224,5.69,6109,BY9D0Y1
HARTFORD FINANCIAL SERVICES GROUP INC,HIG US,322,68.25,1606,2476193
HANNOVER RUECK SE,HNR1 GY,53,169.50,266,4511809
DAI-ICHI LIFE HOLD,8750 JP,996,25.33,4971,B601QS4
GREAT-WEST LIFECO INC,GWO,247,32.52,1230,2384951
INSURANCE AUSTRALIA GROUP LTD,IAG AT,2136,7.81,10655,6271026
AXA SA,CS FP,1733,32.28,8646,7088429
FIDELITY NATIONAL FINANCIAL INC,FNF US,235,53.11,1170,BNBRDD4
AON PLC,AON US,220,192.55,1097,B5BT0K0
CINCINNATI FINANCIAL CORP,CINF US,137,92.94,681,2196888
VIENNA INSURANCE GROUP AG,VIG AV,34,36.19,171,B0BKSS2
ASSURED GUARANTY LTD,AGO US,98,48.26,489,B00V7H8
RENAISSANCERE HOLDINGS LTD,RNR US,35,166.11,176,2728429
ASSICURAZIONI GENERALI SPA,G IM,1169,22.71,5831,4056719
WILLIS TOWERS WATSON,WLTW US,118,212.53,591,BDB6Q21
ALLSTATE CORP,ALL US,316,122.21,1578,2019952
AMERICAN INTERNATIONAL GROUP INC,AIG US,810,69.83,4040,2027342
BEAZLEY PLC,BEZ LN,462,9.30,2305,BYQ0JC6
JARDINE LLOYD THOMPSON GROUP PLC,JLT LN,108,24.10,541,0520337
ST. JAMES'S PLACE PLC,STJ LN,464,20.54,2316,0766937
PHOENIX GROUP HOLDINGS,PHNX LN,514,11.66,2563,B45JKK9
TRYG A/S,TRYG DC,108,31.40,537,BXDZ972
PROGRESSIVE CORP,PGR US,522,77.59,2606,2705024
BRIGHTHOUSE FINL INC,BHF US,107,54.79,532,BF429K9
ARCH CAPITAL GROUP LTD,ACGL US,344,38.45,1716,2740542
ZURICH INSURANCE GROUP AG,ZURN VX,135,392.25,676,5983816
ASR NEDERLAND NV,ASRNL NA,123,56.66,616,BD9PNF2
CNA FINANCIAL CORP,CNA US,25,62.34,125,2204866
TOPDANMARK A/S,TOP DC,37,57.98,184,B94P973
ATHENE HOLDING LTD,ATH US,141,58.45,704,BZ13MZ1
TRAVELERS COMPANIES INC,TRV US,243,164.61,1213,2769503
JAPAN POST INSURANCE CO LTD,7181 JP,54,27.97,268,BYT8154
BALOISE HOLDING LTD,BALN VX,42,193.37,210,7124594
ALLIANZ SE,ALV GR,393,278.47,1963,5231485
LOEWS CORP,L US,253,65.02,1263,2523022
BROWN & BROWN INC,BRO US,204,37.97,1017,2692687
POSTE ITALIANE GROUP,PST IM,411,11.93,2049,BYYN701
HISCOX LTD,HSX LN,247,25.18,1233,BVZHXQ9
PRUDENTIAL FINANCIAL INC,PRU US,378,126.41,1887,2819118
BANCA MEDIOLANUM SPA,BMED IM,216,8.95,1076,BYWP840
WHITE MOUNTAINS INSURANCE GROUP LTD,WTM US,3,1186.24,14,2339252
UNIPOLSAI ASSICURAZIONI SPA,US IM,678,2.93,3382,B89YH96
AMERICAN NATL INS CO,ANAT US,7,163.41,33,2028420
VOYA FINANCIAL,VOYA US,150,65.39,747,BKWQ2N2
UNIQA INSURANCE GROUP AG,UQA AV,98,12.81,491,4422332
AIA GROUP LTD,1299 HK,10835,11.54,54056,B4TX8S1
AXIS CAPITAL HOLDINGS LTD,AXS US,73,75.06,364,2677606
MANULIFE FINANCIAL CORP,MFC,1790,23.89,8931,2492519
SCOR SE,SCR FP,139,49.65,695,B1LB9P6
SUNCORP GROUP LTD,SUN AT,1171,14.61,5844,6585084
BERKSHIRE HATHAWAY INC,BRK/B US,860,257.59,4292,2073390
SWISS RE AG,SREN VX,283,116.38,1414,B545MG5
AMERICAN FINANCIAL GROUP INC,AFG US,64,145.15,318,2134532
QBE INSURANCE GROUP LTD,QBE AU,1207,9.77,6023,6715740
MUENCHENER RUECKVERSICHERUNGS AG,MUV2 GR,131,280.72,656,5294121
W. R. BERKLEY CORP,WRB US,84,96.91,421,2093644
SUN LIFE FINANCIAL INC,SLF,548,53.35,2736,2566124
MARKEL CORP,MKL US,12,1495.17,61,2566436
OLD REPUBLIC INTERNATIONAL CORP,ORI US,251,26.63,1254,2659109
JAPAN POST HLDGS CO LTD,6178 JP,1186,14.47,5918,BYT8143
FAIRFAX FINANCIAL HOLDINGS LTD,FFH,24,719.01,121,2566351
UNIPOL GRUPPO SPA,UNI IM,490,5.29,2447,B7SF135
SAMPO PLC,SAMPO FH,442,65.78,2206,5226038
REINSURANCE GROUP OF AMERICA INC,RGA US,57,181.08,286,2731193
AFLAC INC,AFL US,689,57.07,3435,2026361
SOMPO HOLDINGS INC,8630 JP,314,52.61,1568,B62G7K6
TALANX AG,TLX GR,34,48.59,168,B8F0TD6
PRUDENTIAL PLC,PRU LN,2336,30.22,11653,0709954
POWER FINANCIAL CORP,PWF,218,31.17,1088,2697864
CHUBB,CB US,416,176.79,2076,B3BQMF6
LINCOLN NATIONAL CORP,LNC US,197,86.03,981,2516378
MARSH & MCLENNAN COMPANIES INC,MMC US,457,114.18,2280,2567741
GRUPO CATALANA OCCIDENTE,GCO SM,39,57.75,196,B188XC5
AGEAS SA,AGS BB,168,68.99,840,B86S2N0
INDUSTRIAL ALLNCE INS FIN SRVC,IAG,98,52.31,487,2543688
NN GROUP NV,NN NA,296,57.06,1477,BNG8PQ9
XL GROUP LTD,XL US,227,73.14,1134,BD95VZ8
HANOVER INSURANCE GROUP INC,THG US,38,161.25,188,2020415
ALLEGHANY CORP,Y US,13,804.98,65,2016801
HELVETIA HOLDING AG,HELN S1,6,757.01,29,7189292
ASSURANT INC,AIZ US,47,140.86,232,2331430
GJENSIDIGE FORSIKRING ASA,GJF NO,148,20.67,737,B4PH0C5
LEGAL & GENERAL GROUP PLC,LGEN LN,5337,4.56,26628,0560399
UNUM GROUP,UNM US,186,49.50,928,2433842

Open Currency Forwards Position,Quantity,Hedged Currency (%),FX Forward Rate,Value Date
AUD,-268300,-2.436594025519528825060016283,0.97186,20180208
CAD,9736549.43,90.98375728832520375512532526,1.00000,20180208
CHF,-411400,-5.0575903010271993584585202878,1.31559,20180208
DKK,-94900,-0.1820686240095828194879669678,0.20531,20180208
EUR,-1079700,-15.434439925893695214105919143,1.52978,20180208
GBP,-525800,-8.452665127551695995916176684,1.72034,20180208
HKD,-3657500,-5.6779451712614447498533403757,0.16613,20180208
JPY,-53904800,-5.918669646043138427296674823,0.01175,20180208
NOK,-96900,-0.1451859032842002550365914798,0.16034,20180208
SGD,-21000,-0.188301921207862910332230273,0.95957,20180208
USD,-3796500,-46.241286831443160581264209713,1.30343,20180208

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
STPL,JH289,BMO GLOBAL CONSUMER STAPLES HEDGED TO CAD INDEX ETF,437000,19.8568,0.43095,0,1.30355,0.35,100000,0.15

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
BROWN-FORMAN CORP,BF/A US,31,71.17,134,2146816
NH FOODS LTD,2282 JP,48,49.84,208,6640767
METRO INC,MRU,122,42.95,531,2583952
KESKO OYJ,KESKOA FH,15,73.10,64,5698057
NISSIN FOODS HOLDINGS CO LTD,2897 JP,11,89.93,50,6641760
KOBAYASHI PHARMACEUTICAL CO LTD,4967 JP,7,111.32,30,6149457
WALGREENS BOOTS ALLIANCE INC,WBA US,403,86.95,1760,BTN1Y44
IMPERIAL BRANDS PL,IMB LN,441,48.93,1926,0454492
FAMILYMART UNY HOLDING,8028 JP,46,122.86,200,6331276
KESKO OYJ,KESKOB FH,41,76.71,178,4490005
C.P. POKPHAND CO. LTD,43 HK,3750,0.12,16389,6693512
METRO AG (NEW),B4B GR,78,15.52,342,BD6QT83
COCA-COLA AMATIL LTD,CCL AT,261,9.15,1142,6123451
GEORGE WESTON LTD,WN,28,108.11,121,2956662
SYSCO CORP,SYY US,232,92.46,1015,2868165
NESTLE SA,NESN VX,1446,105.17,6317,7123870
GENERAL MILLS INC,GIS US,277,56.77,1212,2367026
KAO CORP,4452 JT,206,96.07,900,6483809
LAMB WESTON HOLDINGS INC,LW US,62,91.78,273,BDQZFJ3
PEPSICO INC,PEP US,668,150.18,2917,2681511
ARYZTA AG,ARYN VX,60,18.82,262,B39VJC9
BRITISH AMERICAN TOBACCO PLC,BATS LN,1082,68.41,4730,0287580
MATSUMOTOKIYOSHI HOLDINGS,3088 JP,46,58.92,200,B249GC0
OCADO GROUP PLC,OCDO LN,284,19.73,1242,B3MBS74
KIKKOMAN CORP,2801 JP,92,63.04,400,6490809
FLOWERS FOODS INC,FLO US,84,26.11,369,2744243
SPECTRUM BRANDS HOLDINGS INC,SPB US,13,100.15,58,BDRYFB1
BRITVIC PLC,BVIC LN,135,14.36,592,B0N8QD5
NU SKIN ENTERPRISES INC,NUS US,33,94.64,144,2616870
ITOHAM YONEKYU HOLDINGS,2296 JP,46,10.53,200,BYPKSR5
ALTRIA GROUP INC,MO US,900,75.41,3933,2692632
SWEDISH MATCH AB,SWMA SS,83,72.41,361,5048566
WILMAR INTERNATIONAL LTD,WIL SP,984,2.94,4300,B17KC69
CASEYS GENERAL STORES INC,CASY US,22,140.68,98,2179414
HEINEKEN HOLDING NV,HEIO NA,63,136.47,277,B0CCH46
JERONIMO MARTINS SGPS SA,JMT PL,123,20.34,539,B1Y1SQ7
SAPUTO INC,SAP,108,43.07,473,2112226
COLRUYT SA,COLR BB,39,77.27,170,5806225
SUN ART RETAIL GROUP LTD,6808 HK,1112,1.71,4860,B3MPN59
BARRY CALLEBAUT AG,BARN SW,1,2284.02,5,5476929
PILGRIMS PRIDE CORP,PPC US,37,23.54,163,B5L3PZ2
CHOCOLADEFABRIKEN LINDT & SPRUENGLI AG,LISP SE,1,8767.30,3,5962280
KROGER CO,KR US,405,36.86,1769,2497406
PIGEON CORP,7956 JP,69,64.67,300,6688080
ESSITY AB,ESSITYB SS,286,32.73,1250,BF1K7P7
COLGATE-PALMOLIVE CO,CL US,406,85.97,1775,2209106
KIRIN HOLDINGS CO LTD,2503 JP,389,35.24,1700,6493745
LEROY SEAFOOD GROUP ASA,LSG NO,131,9.50,572,4691916
PINNACLE FOODS INC,PF US,71,85.64,310,B94DGV0
CONSTELLATION BRANDS INC,STZ US,69,280.46,300,2170473
TESCO PLC,TSCO LN,4573,4.44,19985,0884709
SUNDRUG CO LTD,9989 JP,46,53.09,200,6817895
TOYO SUISAN KAISHA LTD,2875 JP,23,44.60,100,6899967
MOLSON COORS BREWING CO,TAP US,78,85.27,342,B067BM3
SEVEN & I HOLDINGS CO LTD,3382 JP,389,53.67,1700,B0FS5D6
PARMALAT SPA,PLT EB,135,4.44,589,B09RG69
ASSOCIATED BRITISH FOODS PLC,ABF LN,157,42.15,688,0673123
UNILEVER PLC,ULVR LN,533,73.82,2329,B10RZP7
INGREDION INC,INGR US,43,127.84,188,B7K24P7
